row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
102,67,1013.91,428.85,3902.05,3357.06,32,15,13.33,64.68,46.53,241.95,84.41,275.15,23.19,0.21,24.83,29.59,0.84,0.89,0.52,0.58,0.45,0.77,0.89,0.45,0.6,0.37,0.25,0.87,0.58,0.82,0.45,0.29
99,59,1918.86,1644.84,4846.03,3939.59,62,26,28.56,71.35,110.74,291.7,179.43,332.2,47.18,0.05,65.6,60.56,0.92,0.93,0.82,0.82,0.81,0.98,0.93,0.81,0.93,0.86,0.46,0.93,0.82,0.9,0.86,0.58
99,60,1614.72,1604.44,2962.64,2864.82,61,22,26.52,75.59,107.65,264.64,161.4,265.71,40.07,0.03,57.61,55.1,0.96,0.99,0.78,0.79,0.77,0.98,0.99,0.79,0.9,0.83,0.46,0.93,0.77,0.94,0.76,0.42
99,61,1439.26,1409.94,2642.77,2510.64,60,12,23.92,76.61,96.27,291.58,157.55,291.58,43.13,0.08,48.71,54.09,0.9,0.93,0.75,0.79,0.72,0.9,0.93,0.72,0.78,0.75,0.5,0.93,0.79,0.9,0.82,0.5
100,59,1077.39,941.2,3578.18,2870.7,43,9,16.94,73.04,60.66,247.29,107.23,247.29,28.98,0.17,34.67,35.88,0.97,0.99,0.63,0.72,0.55,0.76,0.93,0.55,0.61,0.49,0.5,0.99,0.72,0.93,0.56,0.5
100,60,2219.94,2219.84,5321.03,4570.48,61,35,29.96,89.88,109.97,312.67,181.53,312.67,53.61,0.32,44.87,77.16,0.58,1.0,0.81,0.89,0.74,0.83,0.87,0.74,0.93,0.69,0.38,1.0,0.89,0.97,0.95,0.62
100,61,1603.1,1521.32,4676.97,3843.2,62,16,23.28,75.45,81.29,272.0,141.73,277.66,39.54,0.27,33.92,55.0,0.62,0.94,0.73,0.83,0.63,0.76,0.93,0.63,0.86,0.51,0.33,0.94,0.83,0.95,0.87,0.5
101,59,1692.67,1500.52,4087.53,3305.79,62,17,24.38,61.08,90.28,272.72,159.6,272.72,43.71,0.1,61.71,44.69,0.72,0.94,0.82,0.85,0.8,0.94,0.94,0.85,0.89,0.9,0.67,0.93,0.8,0.96,0.71,0.58
101,60,999.81,936.05,2611.04,2107.28,50,2,19.65,66.19,73.67,245.57,123.0,245.57,31.0,0.01,47.54,40.7,0.86,1.0,0.69,0.72,0.65,0.9,1.0,0.72,0.78,0.73,0.58,0.92,0.65,0.77,0.61,0.46
101,61,1324.35,1210.91,4105.68,3169.21,50,13,19.92,50.29,72.82,190.27,132.29,323.58,37.68,0.26,33.35,49.83,0.67,0.93,0.73,0.81,0.64,0.79,0.75,0.64,0.86,0.52,0.38,0.93,0.81,0.98,0.79,0.46
85,50,281.6,83.8,1851.03,1510.54,13,0,7.24,61.33,26.36,219.15,44.39,219.15,11.05,0.07,14.25,13.86,0.97,0.75,0.24,0.26,0.22,0.86,0.62,0.26,0.36,0.18,0.17,0.75,0.22,0.32,0.17,0.08
85,51,1150.24,1181.19,2526.19,2301.89,51,6,19.73,52.99,69.93,210.37,113.84,237.98,32.67,0.22,46.22,29.9,0.65,0.93,0.64,0.73,0.55,0.76,0.93,0.73,0.92,0.73,0.29,0.89,0.55,0.68,0.45,0.42
85,52,748.32,357.5,3010.27,2556.92,30,5,13.02,44.49,46.14,135.72,81.83,216.44,21.92,0.15,30.86,21.33,0.69,0.91,0.51,0.55,0.47,0.86,0.91,0.55,0.63,0.47,0.5,0.69,0.47,0.71,0.3,0.25
86,50,1040.28,921.53,2892.24,2534.0,48,6,17.71,62.15,61.68,230.43,108.37,230.43,32.35,0.38,47.63,20.95,0.44,0.89,0.58,0.75,0.42,0.56,0.89,0.75,0.87,0.76,0.46,0.63,0.42,0.61,0.29,0.21
86,51,795.29,607.48,2813.78,2485.27,34,10,12.3,49.21,43.52,168.98,79.83,244.03,22.11,0.17,27.14,22.66,0.83,0.77,0.46,0.56,0.36,0.64,0.65,0.56,0.87,0.4,0.17,0.77,0.36,0.46,0.32,0.21
86,52,863.14,807.35,2035.48,1647.46,55,1,19.93,51.11,77.29,212.26,117.13,212.26,34.07,0.26,37.27,51.62,0.72,0.84,0.65,0.69,0.6,0.87,0.73,0.6,0.6,0.59,0.62,0.84,0.69,0.61,0.77,0.75
87,50,438.28,393.29,1604.25,1292.38,25,0,12.33,44.12,43.46,165.86,74.34,182.75,20.27,0.13,26.75,25.17,0.94,0.73,0.43,0.44,0.41,0.92,0.73,0.44,0.42,0.4,0.58,0.73,0.41,0.37,0.37,0.58
87,51,553.09,419.14,2837.14,2361.8,25,4,12.28,51.75,43.58,191.79,77.32,191.79,19.97,0.2,32.77,23.59,0.72,0.82,0.42,0.48,0.36,0.75,0.82,0.48,0.4,0.49,0.67,0.61,0.36,0.34,0.34,0.46
87,52,922.91,933.92,2309.46,2060.6,43,3,16.98,51.8,59.1,199.87,102.25,202.91,29.38,0.19,24.87,40.99,0.61,0.84,0.6,0.75,0.45,0.6,0.8,0.45,0.57,0.36,0.33,0.84,0.75,0.91,0.64,0.58
87,55,1246.63,1217.08,3460.5,2788.71,53,11,20.14,66.04,74.46,255.83,128.83,255.83,33.95,0.11,42.3,43.45,0.97,0.93,0.73,0.75,0.7,0.93,0.87,0.75,0.96,0.68,0.42,0.93,0.7,0.85,0.66,0.46
87,56,1209.99,1112.23,3778.44,2904.01,48,10,17.7,62.93,67.75,236.59,117.3,291.99,32.12,0.16,31.84,40.47,0.79,0.88,0.7,0.74,0.66,0.9,0.77,0.66,0.96,0.49,0.29,0.88,0.74,0.92,0.64,0.5
87,57,1226.78,1280.28,2501.01,2107.22,56,3,21.16,72.1,79.15,272.36,135.17,272.36,37.93,0.26,32.59,53.56,0.61,1.0,0.73,0.84,0.62,0.74,0.76,0.62,0.8,0.5,0.42,1.0,0.84,0.94,0.83,0.62
88,55,776.42,865.71,2354.49,1877.0,41,1,15.44,48.55,56.89,202.39,89.66,207.65,26.89,0.37,22.4,41.18,0.54,0.91,0.52,0.6,0.45,0.74,0.64,0.45,0.63,0.32,0.25,0.91,0.6,0.68,0.56,0.5
88,56,931.72,821.78,2197.05,2040.16,48,3,15.74,65.55,57.04,249.67,105.87,249.67,29.37,0.19,25.51,37.19,0.69,0.85,0.6,0.65,0.54,0.84,0.78,0.54,0.77,0.37,0.33,0.85,0.65,0.86,0.59,0.29
88,57,1387.4,1170.64,3232.13,3000.13,56,16,19.76,57.94,67.72,195.49,124.95,242.88,36.81,0.38,22.53,43.01,0.52,0.99,0.65,0.77,0.53,0.69,0.72,0.53,0.84,0.32,0.21,0.99,0.77,1.0,0.69,0.38
89,55,763.09,519.9,2774.05,2030.81,35,1,14.82,72.35,50.99,257.3,87.81,257.3,27.06,0.45,17.77,43.41,0.41,0.93,0.49,0.58,0.4,0.69,0.56,0.4,0.66,0.23,0.12,0.93,0.58,0.58,0.67,0.42
89,56,1378.5,1275.89,2862.59,2624.56,56,12,22.78,62.29,79.44,198.44,132.36,239.97,39.67,0.37,27.85,49.99,0.56,0.9,0.65,0.78,0.53,0.67,0.78,0.53,0.74,0.42,0.25,0.9,0.78,0.9,0.81,0.46
89,57,1155.12,955.87,3375.19,3033.16,41,13,16.81,50.34,61.31,188.37,106.01,244.63,27.35,0.03,28.54,33.1,0.86,0.86,0.64,0.65,0.64,0.99,0.74,0.65,0.96,0.43,0.33,0.86,0.64,0.73,0.51,0.67
92,44,715.46,641.91,2210.84,1602.98,46,1,14.39,51.1,53.11,214.3,101.47,214.3,26.26,0.04,28.53,26.79,0.94,0.72,0.52,0.53,0.5,0.94,0.62,0.53,0.72,0.43,0.29,0.72,0.5,0.66,0.4,0.33
