row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
90,35,0.05,0.0,0.25,0.23,0,0,0.07,0.56,0.23,2.0,0.23,2.0,0.12,0.62,0.04,0.06,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,36,0.14,0.0,2.91,1.41,0,0,0.09,1.33,0.3,4.0,0.42,6.0,0.13,0.13,0.25,0.08,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,37,0.32,0.22,2.32,2.07,0,0,0.18,0.89,0.58,2.0,0.92,7.0,0.3,0.11,0.63,0.1,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,39,649.95,220.99,1694.91,1644.48,25,0,9.35,25.22,28.97,84.0,46.31,130.0,24.83,0.94,33.27,2.25,0.07,0.54,0.27,0.54,0.0,0.0,0.54,0.54,0.8,0.51,0.0,0.0,0.0,0.0,0.0,0.0
88,40,908.21,1069.4,1792.89,1787.09,40,0,15.21,27.11,45.62,82.0,60.81,112.0,25.31,0.98,39.0,0.4,0.01,0.64,0.32,0.64,0.0,0.0,0.64,0.64,0.79,0.62,0.33,0.0,0.0,0.0,0.0,0.0
88,41,627.18,114.89,1844.67,1838.94,24,0,10.22,27.44,31.14,82.0,43.86,130.0,24.75,0.97,30.92,0.83,0.03,0.54,0.27,0.53,0.0,0.0,0.54,0.53,0.81,0.47,0.0,0.0,0.0,0.0,0.0,0.0
89,39,633.59,473.67,1962.47,1825.34,31,0,10.02,34.0,36.7,126.0,64.14,181.0,22.16,0.55,12.67,30.92,0.41,0.75,0.43,0.64,0.22,0.34,0.57,0.22,0.26,0.15,0.25,0.75,0.64,0.88,0.47,0.38
89,40,463.59,54.38,1787.88,1669.33,23,0,8.71,30.56,33.75,123.0,52.75,184.0,14.56,0.16,18.44,18.29,0.99,0.72,0.39,0.42,0.36,0.86,0.71,0.36,0.42,0.24,0.42,0.72,0.42,0.54,0.24,0.46
89,41,642.52,469.72,1990.77,1876.66,32,0,9.76,32.67,32.66,113.0,62.44,187.0,21.64,0.53,9.21,29.69,0.31,0.74,0.41,0.62,0.2,0.33,0.5,0.2,0.29,0.09,0.21,0.74,0.62,0.86,0.45,0.38
90,39,0.16,0.0,1.56,0.98,0,0,0.13,0.67,0.42,2.0,0.52,4.0,0.17,0.27,0.27,0.06,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,40,0.41,0.0,5.78,3.92,0,0,0.13,2.0,0.36,5.0,0.77,11.0,0.3,0.42,0.27,0.15,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
