参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0622, 测试集:0.1001, 下限值:0.1001, 差异:0.0379
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0620, 测试集:0.1021, 下限值:0.1021, 差异:0.0401
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0617, 测试集:0.1006, 下限值:0.1006, 差异:0.0389
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0617, 测试集:0.1001, 下限值:0.1001, 差异:0.0384
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0797, 测试集:0.1102, 下限值:0.1102, 差异:0.0305
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0815, 测试集:0.1107, 下限值:0.1107, 差异:0.0292
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0817, 测试集:0.1099, 下限值:0.1099, 差异:0.0283
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0811, 测试集:0.1119, 下限值:0.1119, 差异:0.0308
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0533, 测试集:0.0999, 下限值:0.0999, 差异:0.0466
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0526, 测试集:0.0984, 下限值:0.0984, 差异:0.0458
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0538, 测试集:0.0964, 下限值:0.0964, 差异:0.0426
